GEO.id,Id
HC01_MOE_VC10,Total; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Africa
HC02_EST_VC10,Foreign born; Entered 2010 or later; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Africa
HC02_MOE_VC10,Foreign born; Entered 2010 or later; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Africa
HC03_EST_VC10,Foreign born; Entered 2000 to 2009; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Africa
HC03_MOE_VC10,Foreign born; Entered 2000 to 2009; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Africa
HC04_EST_VC10,Foreign born; Entered before 2000; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Africa
HC04_MOE_VC10,Foreign born; Entered before 2000; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Africa
HC01_EST_VC11,Total; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
HC01_MOE_VC11,Total; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
HC02_EST_VC11,Foreign born; Entered 2010 or later; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
HC02_MOE_VC11,Foreign born; Entered 2010 or later; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
HC03_EST_VC11,Foreign born; Entered 2000 to 2009; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
HC03_MOE_VC11,Foreign born; Entered 2000 to 2009; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
HC04_EST_VC11,Foreign born; Entered before 2000; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
HC04_MOE_VC11,Foreign born; Entered before 2000; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Oceania
HC01_EST_VC12,Total; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
HC01_MOE_VC12,Total; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
HC02_EST_VC12,Foreign born; Entered 2010 or later; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
HC02_MOE_VC12,Foreign born; Entered 2010 or later; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
HC03_EST_VC12,Foreign born; Entered 2000 to 2009; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
HC03_MOE_VC12,Foreign born; Entered 2000 to 2009; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
HC04_EST_VC12,Foreign born; Entered before 2000; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
HC04_MOE_VC12,Foreign born; Entered before 2000; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Latin America
HC01_EST_VC13,Total; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Northern America
HC01_MOE_VC13,Total; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Northern America
HC02_EST_VC13,Foreign born; Entered 2010 or later; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Northern America
HC02_MOE_VC13,Foreign born; Entered 2010 or later; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Northern America
HC03_EST_VC13,Foreign born; Entered 2000 to 2009; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Northern America
HC03_MOE_VC13,Foreign born; Entered 2000 to 2009; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Northern America
HC04_EST_VC13,Foreign born; Entered before 2000; Estimate; WORLD REGION OF BIRTH OF FOREIGN BORN - Northern America
HC04_MOE_VC13,Foreign born; Entered before 2000; Margin of Error; WORLD REGION OF BIRTH OF FOREIGN BORN - Northern America
HC01_EST_VC16,Total; Estimate; SEX AND AGE - Male
HC01_MOE_VC16,Total; Margin of Error; SEX AND AGE - Male
HC02_EST_VC16,Foreign born; Entered 2010 or later; Estimate; SEX AND AGE - Male
HC02_MOE_VC16,Foreign born; Entered 2010 or later; Margin of Error; SEX AND AGE - Male
HC03_EST_VC16,Foreign born; Entered 2000 to 2009; Estimate; SEX AND AGE - Male
HC03_MOE_VC16,Foreign born; Entered 2000 to 2009; Margin of Error; SEX AND AGE - Male
HC04_EST_VC16,Foreign born; Entered before 2000; Estimate; SEX AND AGE - Male
HC04_MOE_VC16,Foreign born; Entered before 2000; Margin of Error; SEX AND AGE - Male
HC01_EST_VC17,Total; Estimate; SEX AND AGE - Female
HC01_MOE_VC17,Total; Margin of Error; SEX AND AGE - Female
HC02_EST_VC17,Foreign born; Entered 2010 or later; Estimate; SEX AND AGE - Female
HC02_MOE_VC17,Foreign born; Entered 2010 or later; Margin of Error; SEX AND AGE - Female
HC03_EST_VC17,Foreign born; Entered 2000 to 2009; Estimate; SEX AND AGE - Female
HC03_MOE_VC17,Foreign born; Entered 2000 to 2009; Margin of Error; SEX AND AGE - Female
HC04_EST_VC17,Foreign born; Entered before 2000; Estimate; SEX AND AGE - Female
HC04_MOE_VC17,Foreign born; Entered before 2000; Margin of Error; SEX AND AGE - Female
HC01_EST_VC19,Total; Estimate; Under 5 years
HC01_MOE_VC19,Total; Margin of Error; Under 5 years
HC02_EST_VC19,Foreign born; Entered 2010 or later; Estimate; Under 5 years
HC02_MOE_VC19,Foreign born; Entered 2010 or later; Margin of Error; Under 5 years
HC03_EST_VC19,Foreign born; Entered 2000 to 2009; Estimate; Under 5 years
HC03_MOE_VC19,Foreign born; Entered 2000 to 2009; Margin of Error; Under 5 years
HC04_EST_VC19,Foreign born; Entered before 2000; Estimate; Under 5 years
HC04_MOE_VC19,Foreign born; Entered before 2000; Margin of Error; Under 5 years
HC01_EST_VC20,Total; Estimate; 5 to 17 years
HC01_MOE_VC20,Total; Margin of Error; 5 to 17 years
HC02_EST_VC20,Foreign born; Entered 2010 or later; Estimate; 5 to 17 years
HC02_MOE_VC20,Foreign born; Entered 2010 or later; Margin of Error; 5 to 17 years
HC03_EST_VC20,Foreign born; Entered 2000 to 2009; Estimate; 5 to 17 years
HC03_MOE_VC20,Foreign born; Entered 2000 to 2009; Margin of Error; 5 to 17 years
HC04_EST_VC20,Foreign born; Entered before 2000; Estimate; 5 to 17 years
HC04_MOE_VC20,Foreign born; Entered before 2000; Margin of Error; 5 to 17 years
HC01_EST_VC21,Total; Estimate; 18 to 24 years
HC01_MOE_VC21,Total; Margin of Error; 18 to 24 years
HC02_EST_VC21,Foreign born; Entered 2010 or later; Estimate; 18 to 24 years
HC02_MOE_VC21,Foreign born; Entered 2010 or later; Margin of Error; 18 to 24 years
HC03_EST_VC21,Foreign born; Entered 2000 to 2009; Estimate; 18 to 24 years
HC03_MOE_VC21,Foreign born; Entered 2000 to 2009; Margin of Error; 18 to 24 years
HC04_EST_VC21,Foreign born; Entered before 2000; Estimate; 18 to 24 years
HC04_MOE_VC21,Foreign born; Entered before 2000; Margin of Error; 18 to 24 years
HC01_EST_VC22,Total; Estimate; 25 to 44 years
HC01_MOE_VC22,Total; Margin of Error; 25 to 44 years
HC02_EST_VC22,Foreign born; Entered 2010 or later; Estimate; 25 to 44 years
HC02_MOE_VC22,Foreign born; Entered 2010 or later; Margin of Error; 25 to 44 years
HC03_EST_VC22,Foreign born; Entered 2000 to 2009; Estimate; 25 to 44 years
HC03_MOE_VC22,Foreign born; Entered 2000 to 2009; Margin of Error; 25 to 44 years
HC04_EST_VC22,Foreign born; Entered before 2000; Estimate; 25 to 44 years
HC04_MOE_VC22,Foreign born; Entered before 2000; Margin of Error; 25 to 44 years
HC01_EST_VC23,Total; Estimate; 45 to 54 years
HC01_MOE_VC23,Total; Margin of Error; 45 to 54 years
HC02_EST_VC23,Foreign born; Entered 2010 or later; Estimate; 45 to 54 years
HC02_MOE_VC23,Foreign born; Entered 2010 or later; Margin of Error; 45 to 54 years
HC03_EST_VC23,Foreign born; Entered 2000 to 2009; Estimate; 45 to 54 years
HC03_MOE_VC23,Foreign born; Entered 2000 to 2009; Margin of Error; 45 to 54 years
HC04_EST_VC23,Foreign born; Entered before 2000; Estimate; 45 to 54 years
HC04_MOE_VC23,Foreign born; Entered before 2000; Margin of Error; 45 to 54 years
HC01_EST_VC24,Total; Estimate; 55 to 64 years
HC01_MOE_VC24,Total; Margin of Error; 55 to 64 years
HC02_EST_VC24,Foreign born; Entered 2010 or later; Estimate; 55 to 64 years
HC02_MOE_VC24,Foreign born; Entered 2010 or later; Margin of Error; 55 to 64 years
HC03_EST_VC24,Foreign born; Entered 2000 to 2009; Estimate; 55 to 64 years
HC03_MOE_VC24,Foreign born; Entered 2000 to 2009; Margin of Error; 55 to 64 years
HC04_EST_VC24,Foreign born; Entered before 2000; Estimate; 55 to 64 years
HC04_MOE_VC24,Foreign born; Entered before 2000; Margin of Error; 55 to 64 years
HC01_EST_VC25,Total; Estimate; 65 to 74 years
HC01_MOE_VC25,Total; Margin of Error; 65 to 74 years
HC02_EST_VC25,Foreign born; Entered 2010 or later; Estimate; 65 to 74 years
HC02_MOE_VC25,Foreign born; Entered 2010 or later; Margin of Error; 65 to 74 years
HC03_EST_VC25,Foreign born; Entered 2000 to 2009; Estimate; 65 to 74 years
HC03_MOE_VC25,Foreign born; Entered 2000 to 2009; Margin of Error; 65 to 74 years
HC04_EST_VC25,Foreign born; Entered before 2000; Estimate; 65 to 74 years
HC04_MOE_VC25,Foreign born; Entered before 2000; Margin of Error; 65 to 74 years
HC01_EST_VC26,Total; Estimate; 75 to 84 years
HC01_MOE_VC26,Total; Margin of Error; 75 to 84 years
HC02_EST_VC26,Foreign born; Entered 2010 or later; Estimate; 75 to 84 years
HC02_MOE_VC26,Foreign born; Entered 2010 or later; Margin of Error; 75 to 84 years
HC03_EST_VC26,Foreign born; Entered 2000 to 2009; Estimate; 75 to 84 years
HC03_MOE_VC26,Foreign born; Entered 2000 to 2009; Margin of Error; 75 to 84 years
HC04_EST_VC26,Foreign born; Entered before 2000; Estimate; 75 to 84 years
HC04_MOE_VC26,Foreign born; Entered before 2000; Margin of Error; 75 to 84 years
HC01_EST_VC27,Total; Estimate; 85 years and over
HC01_MOE_VC27,Total; Margin of Error; 85 years and over
HC02_EST_VC27,Foreign born; Entered 2010 or later; Estimate; 85 years and over
HC02_MOE_VC27,Foreign born; Entered 2010 or later; Margin of Error; 85 years and over
HC03_EST_VC27,Foreign born; Entered 2000 to 2009; Estimate; 85 years and over
HC03_MOE_VC27,Foreign born; Entered 2000 to 2009; Margin of Error; 85 years and over
HC04_EST_VC27,Foreign born; Entered before 2000; Estimate; 85 years and over
HC04_MOE_VC27,Foreign born; Entered before 2000; Margin of Error; 85 years and over
HC01_EST_VC29,Total; Estimate; Median age (years)
HC01_MOE_VC29,Total; Margin of Error; Median age (years)
HC02_EST_VC29,Foreign born; Entered 2010 or later; Estimate; Median age (years)
HC02_MOE_VC29,Foreign born; Entered 2010 or later; Margin of Error; Median age (years)
HC03_EST_VC29,Foreign born; Entered 2000 to 2009; Estimate; Median age (years)
HC03_MOE_VC29,Foreign born; Entered 2000 to 2009; Margin of Error; Median age (years)
HC04_EST_VC29,Foreign born; Entered before 2000; Estimate; Median age (years)
HC04_MOE_VC29,Foreign born; Entered before 2000; Margin of Error; Median age (years)
HC01_EST_VC32,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC01_MOE_VC32,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC02_EST_VC32,Foreign born; Entered 2010 or later; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC02_MOE_VC32,Foreign born; Entered 2010 or later; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC03_EST_VC32,Foreign born; Entered 2000 to 2009; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC03_MOE_VC32,Foreign born; Entered 2000 to 2009; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC04_EST_VC32,Foreign born; Entered before 2000; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC04_MOE_VC32,Foreign born; Entered before 2000; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race
HC01_EST_VC33,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC01_MOE_VC33,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC02_EST_VC33,Foreign born; Entered 2010 or later; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC02_MOE_VC33,Foreign born; Entered 2010 or later; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC03_EST_VC33,Foreign born; Entered 2000 to 2009; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC03_MOE_VC33,Foreign born; Entered 2000 to 2009; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC04_EST_VC33,Foreign born; Entered before 2000; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC04_MOE_VC33,Foreign born; Entered before 2000; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - White
HC01_EST_VC34,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC01_MOE_VC34,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC02_EST_VC34,Foreign born; Entered 2010 or later; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC02_MOE_VC34,Foreign born; Entered 2010 or later; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC03_EST_VC34,Foreign born; Entered 2000 to 2009; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC03_MOE_VC34,Foreign born; Entered 2000 to 2009; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC04_EST_VC34,Foreign born; Entered before 2000; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC04_MOE_VC34,Foreign born; Entered before 2000; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Black or African American
HC01_EST_VC35,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC01_MOE_VC35,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC02_EST_VC35,Foreign born; Entered 2010 or later; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC02_MOE_VC35,Foreign born; Entered 2010 or later; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC03_EST_VC35,Foreign born; Entered 2000 to 2009; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC03_MOE_VC35,Foreign born; Entered 2000 to 2009; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC04_EST_VC35,Foreign born; Entered before 2000; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC04_MOE_VC35,Foreign born; Entered before 2000; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - American Indian and Alaska Native
HC01_EST_VC36,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC01_MOE_VC36,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC02_EST_VC36,Foreign born; Entered 2010 or later; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC02_MOE_VC36,Foreign born; Entered 2010 or later; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC03_EST_VC36,Foreign born; Entered 2000 to 2009; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC03_MOE_VC36,Foreign born; Entered 2000 to 2009; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC04_EST_VC36,Foreign born; Entered before 2000; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC04_MOE_VC36,Foreign born; Entered before 2000; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Asian
HC01_EST_VC37,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC01_MOE_VC37,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC02_EST_VC37,Foreign born; Entered 2010 or later; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC02_MOE_VC37,Foreign born; Entered 2010 or later; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC03_EST_VC37,Foreign born; Entered 2000 to 2009; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC03_MOE_VC37,Foreign born; Entered 2000 to 2009; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC04_EST_VC37,Foreign born; Entered before 2000; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC04_MOE_VC37,Foreign born; Entered before 2000; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Native Hawaiian and Other Pacific Islander
HC01_EST_VC38,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC01_MOE_VC38,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC02_EST_VC38,Foreign born; Entered 2010 or later; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC02_MOE_VC38,Foreign born; Entered 2010 or later; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC03_EST_VC38,Foreign born; Entered 2000 to 2009; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC03_MOE_VC38,Foreign born; Entered 2000 to 2009; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC04_EST_VC38,Foreign born; Entered before 2000; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC04_MOE_VC38,Foreign born; Entered before 2000; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - One race - Some other race
HC01_EST_VC39,Total; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC01_MOE_VC39,Total; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC02_EST_VC39,Foreign born; Entered 2010 or later; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC02_MOE_VC39,Foreign born; Entered 2010 or later; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC03_EST_VC39,Foreign born; Entered 2000 to 2009; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC03_MOE_VC39,Foreign born; Entered 2000 to 2009; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC04_EST_VC39,Foreign born; Entered before 2000; Estimate; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC04_MOE_VC39,Foreign born; Entered before 2000; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN - Two or more races
HC01_EST_VC41,Total; Estimate; Hispanic or Latino origin (of any race)
HC01_MOE_VC41,Total; Margin of Error; Hispanic or Latino origin (of any race)
HC02_EST_VC41,Foreign born; Entered 2010 or later; Estimate; Hispanic or Latino origin (of any race)
HC02_MOE_VC41,Foreign born; Entered 2010 or later; Margin of Error; Hispanic or Latino origin (of any race)
HC03_EST_VC41,Foreign born; Entered 2000 to 2009; Estimate; Hispanic or Latino origin (of any race)
HC03_MOE_VC41,Foreign born; Entered 2000 to 2009; Margin of Error; Hispanic or Latino origin (of any race)
HC04_EST_VC41,Foreign born; Entered before 2000; Estimate; Hispanic or Latino origin (of any race)
HC04_MOE_VC41,Foreign born; Entered before 2000; Margin of Error; Hispanic or Latino origin (of any race)
HC01_EST_VC42,"Total; Estimate; White alone, not Hispanic or Latino"
HC01_MOE_VC42,"Total; Margin of Error; White alone, not Hispanic or Latino"
HC02_EST_VC42,"Foreign born; Entered 2010 or later; Estimate; White alone, not Hispanic or Latino"
HC02_MOE_VC42,"Foreign born; Entered 2010 or later; Margin of Error; White alone, not Hispanic or Latino"
HC03_EST_VC42,"Foreign born; Entered 2000 to 2009; Estimate; White alone, not Hispanic or Latino"
HC03_MOE_VC42,"Foreign born; Entered 2000 to 2009; Margin of Error; White alone, not Hispanic or Latino"
HC04_EST_VC42,"Foreign born; Entered before 2000; Estimate; White alone, not Hispanic or Latino"
HC04_MOE_VC42,"Foreign born; Entered before 2000; Margin of Error; White alone, not Hispanic or Latino"
HC01_EST_VC45,Total; Estimate; HOUSEHOLD TYPE - In married-couple family
HC01_MOE_VC45,Total; Margin of Error; HOUSEHOLD TYPE - In married-couple family
HC02_EST_VC45,Foreign born; Entered 2010 or later; Estimate; HOUSEHOLD TYPE - In married-couple family
HC02_MOE_VC45,Foreign born; Entered 2010 or later; Margin of Error; HOUSEHOLD TYPE - In married-couple family
HC03_EST_VC45,Foreign born; Entered 2000 to 2009; Estimate; HOUSEHOLD TYPE - In married-couple family
HC03_MOE_VC45,Foreign born; Entered 2000 to 2009; Margin of Error; HOUSEHOLD TYPE - In married-couple family
HC04_EST_VC45,Foreign born; Entered before 2000; Estimate; HOUSEHOLD TYPE - In married-couple family
HC04_MOE_VC45,Foreign born; Entered before 2000; Margin of Error; HOUSEHOLD TYPE - In married-couple family
HC01_EST_VC46,Total; Estimate; HOUSEHOLD TYPE - In other households
HC01_MOE_VC46,Total; Margin of Error; HOUSEHOLD TYPE - In other households
HC02_EST_VC46,Foreign born; Entered 2010 or later; Estimate; HOUSEHOLD TYPE - In other households
HC02_MOE_VC46,Foreign born; Entered 2010 or later; Margin of Error; HOUSEHOLD TYPE - In other households
HC03_EST_VC46,Foreign born; Entered 2000 to 2009; Estimate; HOUSEHOLD TYPE - In other households
HC03_MOE_VC46,Foreign born; Entered 2000 to 2009; Margin of Error; HOUSEHOLD TYPE - In other households
HC04_EST_VC46,Foreign born; Entered before 2000; Estimate; HOUSEHOLD TYPE - In other households
